Район,Адрес,Площадь (м²),Тип,Цена (руб.),Цена за м² (руб.),Комнат,Этаж,ЖК/Комплекс,Источник,Дата сбора,Примечание
,ул. Муравленко 9к1,111.8,Новостройка,14120000,126297,2,8/9,ЖК Европейский квартал,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2026
Ембаево (пригород),с. Ембаево,67.8,Новостройка,8310000,122566,2,2/4,ЖК Ритмы,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,ул. Андрея Приказнова 1,40.8,Новостройка,7300000,178922,1,12/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
Кулаково (пригород),с. Кулаково ул. Заповедных Холмов 2,80.6,Новостройка,11880000,147395,2,2/4,ЖК Кипрея Квартиры,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
,,39.6,Новостройка,8050000,203283,1,4/9,ЖК Дом на Ямской,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,Подгорная ул. 73,53.1,Новостройка,8870000,167043,2,11/16,ЖК Авторский,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
,ул. Эльвиры Федоровой 3,60.3,Новостройка,8967135,148709,2,2/19,Жилой район Корней,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
Московский (пригород),п. Московский,45.3,Новостройка,5990000,132230,1,8/8,ЖК Листопад,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Заполярная 3к1,84.9,Новостройка,10150000,119552,3,1/10,ЖК Август,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
Тура-2,ул. Героев Космоса 13,34.9,Новостройка,4150000,118911,1,8/16,ЖК Тура-2,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2024
,ул. Республики 204к15,25.1,Новостройка,4000000,159363,1,9/23,ЖК Баланс,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
,ул. Фармана Салманова 5к2,144.8,Новостройка,19750000,136395,4,1/2,Квартал Скандиа. Таунхаусы,Яндекс.Недвижимость,2026-07-04,таунхаус; сдача 2кв.2025
,ул. Евгения Войнова 8,70.1,Новостройка,10200000,145506,2,2/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,Хабаровская ул.,55.1,Новостройка,8533350,154870,3,6/16,ЖК Страна.Прибрежная,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Алексея Сергиенко 1,75.3,Новостройка,8880000,117928,2,8/8,ЖК Эпитеты,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,ул. Лесопарковая 20,67.1,Новостройка,8890000,132489,2,17/24,ГК Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,37.8,Новостройка,6160000,162963,1,15/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,ул. Надежды Шалагиной 4,54.1,Новостройка,8629320,159507,2,12/25,Жилой район Корней,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Евгения Войнова 8,42.5,Новостройка,7800000,183529,1,22/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Андрея Приказнова 1,54.6,Новостройка,8320000,152381,2,10/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,,76.7,Новостройка,9769600,127374,3,8/24,Жилой квартал ФОРСО,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2028
,ул. 50 лет Октября 61к1,70,Новостройка,10110000,144429,3,2/25,ЖК Сердце Сибири,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,,80.4,Новостройка,11490000,142910,4,2/15,ЖК Домашний,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Герцена 33,141.2,Новостройка,38130000,270042,3,3/5,ЖК Сикрет Плэйс,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Полевая 93,48.2,Новостройка,6980000,144813,1,3/19,ЖК Плэй,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Камчатская 107к1,39.3,Новостройка,5437254,138353,1,17/21,ЖК Беринг,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
